article_id,headline,body_text,source_domain,published_at,language,labels,mis_risk_label,word_count,scrape_noise,summary_ref,entities_ref
ART_00000,Dengue fever cases have surged by 6,"Dengue fever cases have surged by 6.5% in Martinstad, Antigua and Barbuda over the past three months, according to data released by Lopez, Rollins and Smith on October 17, 2025. Officials have attributed the rise to rising temperatures. Ministry of Health, Montenegro announced a mass vaccination campaign in response to the outbreak. Hospitals in Whiteborough, Cayman Islands are reporting stretched ICU capacity. Joshua Wood, a virologist at Valentine, Sawyer and Cabrera, warned that 'this is deeply concerning'. The World Health Organisation has been notified and is monitoring the situation.",bbc.com,11-02-2023 01:00,en,"[""Economy"", ""Technology"", ""Environment""]",0.573,89,,,
ART_00001,"Shocking — A critical vulnerability has been discovered in Windows Kernel, affecting an estimated 109 million u","A critical vulnerability has been discovered in Windows Kernel, affecting an estimated 109 million users worldwide. The flaw, identified by reseachers at Kramer, Rodriguez and Jones, allows attackers to execute arbitrary code remotely. Murphy Group issued a patch on November 23, 2025 and urged all users to update immediately. Cybersecurity expert Isabel Stou&amp; called&nbsp;the vulnerability 'critical'. Regulatory bodies in East Brianton, United States Virgin Islands have launched an inquiry into Jordan Inc's data security practices.",thehindu.com,18-12-2022,en,"[""Entertainment""]",0.829,75,,,
ART_00002,"A new study published in Cell on November 18, 2024 suggests that a novel mRNA approach shows 91% eff","A new study published in Cell on November 18, 2024 suggests that a novel mRNA approach shows 91% efficacy against resistant tuberculosis. The research, conducted by scientists at Jackson Ltd over a decade, involved 31782 participants across West Michaelbury, Ukraine. Lead researcher Philip Woods said the results were 'surprising but reproducible'. The study recommends reducing ultra-processed food intake. However, Nicole Murray cautioned that 'individual variation must be considered'. Health authorities in South James, Pitcairn Islands have acknowledged the findings and plan to review current guidelines.",thehindu.com,"April 03, 2022",en,"[""Economy"", ""Health""]",0.573,85,,,
ART_00003,The Paraguay economy expanded by 2,"The Paraguay economy expanded by 2.1% in the Q1 2023, beating analyst expectations of 1.6%, according to data from Brown-Peters. Growth was driven primarily by exports. However, unemployment remains a key risk, with Jerry Mcbride at Reed, Everett and Gray warning that 'we are approaching a tipping point'. The Federal Reserve indicated it may begin quantitative easing at its next meeting on May 26, 2024. The Pound strengthened to a two-month high following the release.",TheGuardian.com,25-06-2023,en,"[""Sports"", ""Environment""]",,75,,,
ART_00004,Cross PLC reported quarterly earnings of $2,"Cross PLC reported quarterly earnings of $2.16B on October 02, 2025, beating analyst forecasts by 1.0%. Revenue from advertising grew 13.1%, while legacy hardware declined 16.8%. CEO Brandon Lowe attributed the performance to 'a decade in the making'. The company raised its full-year guidance to $481.6B. Shares surged 7.1% in after-hours trading. Mark Ball at Nielsen Group maintained a 'Overweight' rating with a price target of $701.",nytimes.com,23-10-2023,en,"[""Technology"", ""Sports"", ""Entertainment""]",,67,,,
ART_00005,"Brad Rivera announced sweeping reforms to education during a press conference held at Alvaradoview, ","Brad Rivera announced sweeping reforms to education during a press conference held at Alvaradoview, Ukraine. The proposed legislation, which has been titled the The Foster Development Act 2025, aims to reduce inequality. Opposition leaders, including Robert Schultz, criticised the move, calling it 'economically reckless'. Political analysts at Porter Ltd warned that the bill could face significant resistance in parliament. Alex Calderon defended the proposal, stating that 'the time for action on education is now.' The vote is expected by July 25, 2025.",apnews.com,25-07-2022 09:00,en,"[""Technology"", ""Health""]",0.256,82,Breaking News | Live Updates | Follow us on social media,,
ART_00006,"Authorities in Hughesbury, British Indian Ocean Territory (Chagos Archipelago) arrested 6 individual","Authorities in Hughesbury, British Indian Ocean Territory (Chagos Archipelago) arrested 6 individuals on N�vember 24, 2025 in connection with an alleged fraud oper�tion, according to Boyle Ltd. The suspects, identified only as linked to an international network, are believed to have siphoned funds from corporate accâunts over a period of five years. Rebecâa Miller of West Thom&nbsp;sside Police Department described the operation as 'the result of years of painstaking work'. The arrests foll�w a two-year investigation codenamed Operation Major. The accused face charges of conspiracy �nd racketeering and could receive sentences of up to 6 years if convicted.",www.theguardian.com,"January 13, 2024",en,"[""Economy"", ""Sports"", ""Environment"", ""Crime"", ""Entertainment""]",0.44,98,,,
ART_00007,"West Inc unveiled its latest cloud platform, the Pena X 69, at a keynote held in Mitchellport, Hunga","West Inc unveiled its latest cloud platform, the Pena X 69, at a keynote held in Mitchellport, Hungary on June 17, 2025. The device features on-device AI processing and a foldable display, marking a significant leap from its predecessor. CEO Mary Parsons described it as 'a decade in the making'. Competitors including Andrade, Adams and Wilson are expected to respond with their own announcements. Shares of Sanchez, Smith and Doyle rose 6.0% following the announcement, according to Hampton, Cox and Bryant. Analysts noted that the launch could reshape the enterprise software market.",ndtv.com,"March 29, 2022",en,"[""Politics"", ""Technology"", ""Sports""]",0.722,92,,,
ART_00008,"Exclusive: Miller, Mills and Cox unveiled its latest AI chip, the Davies Ultra 67, at a keynote held in North J","Miller, Mills and Cox unveiled its latest AI chip, the Davies Ultra 67, at a keynote held in North Jasmineborough, Central African Republic on January 31, 2026. The device features on-device AI processing and a foldable display, marking a significant leap from its predecessor. CEO Lauren Arias described it as 'the future of personal computing'. Competitors including Perry, Smith and Mcclain are expected to respond with their own announcements. Shares of Daniel, Holloway and Dominguez rose 13.7% following the announcement, according to Hamilton-Davis. Analysts noted that the launch could reshape the enterprise software market.",techcrunch.com,"July 23, 2023",en,"[""Health"", ""International""]",0.635,94,Share on Facebook Twitter LinkedIn | Comments (0),,
ART_00009,Jason Tucker announced sweeping reforms to education during a press conference held at New Rachelche,"Jason Tucker announced sweeping reforms to education during a press conference held at New Rachelchester, Netherlands. The proposed legislation, which has been titled the The Ortega Security Act 2025, aims to improve public services. Opposition leaders, including Mark Miller, criticised the move, calling it 'economically reckless'. Political analysts at Kennedy, Soto and Newman warned that the bill could face significant resistance in parliament. Brittany Goodwin defended the proposal, stating that 'the time for action on immigration is now.' The vote is expected by June 16, 2024.",reuters.com,2023-05-12T04:00:00Z,en,"[""Health"", ""Environment""]",0.307,86,,,
